Quarter,Consumer Price Index,UNRATE,Personal Savings,Inflation Rate,GDP,Personal Consumption Expenditures,Gross Savings,Gross saving as a percentage of gross national income,Gross domestic investment,Net saving as a percentage of gross national income,FEDFUNDS,Military Spending
1978-06-30,64.53333333333335,6.0,167.649,6.966666666666666,2331.633,1411.4,540.6,23.2,575.5,9.4,7.283333333333334,28.345515925
1978-09-30,66.06666666666666,6.033333333333334,176.505,7.933333333333334,2395.053,1442.2,561.5,23.5,602.0,9.6,8.1,28.345515925
1978-12-31,67.39999999999999,5.8999999999999995,178.495,8.933333333333334,2476.949,1481.4,589.4,23.9,629.9,10.0,9.583333333333334,28.345515925
1979-03-31,69.06666666666666,5.866666666666667,194.836,9.766666666666667,2526.61,1517.1,608.9,24.1,635.5,10.1,10.073333333333332,31.719981775
1979-06-30,71.46666666666665,5.7,184.929,10.766666666666666,2591.247,1557.6,612.5,23.7,656.2,9.5,10.18,31.719981775
1979-09-30,73.83333333333333,5.866666666666667,182.102,11.766666666666666,2667.565,1611.9,615.0,23.2,671.0,8.9,10.946666666666667,31.719981775
1979-12-31,75.93333333333334,5.966666666666666,185.431,12.666666666666666,2723.883,1655.0,617.9,22.8,676.2,8.3,13.576666666666666,31.719981775
1980-03-31,78.93333333333332,6.3,197.028,14.300000000000002,2789.842,1702.3,611.8,22.2,690.3,7.4,15.046666666666667,35.922088725
1980-06-30,81.83333333333333,7.333333333333333,224.95,14.5,2797.352,1704.7,608.2,21.9,654.0,6.7,12.686666666666667,35.922088725
1980-09-30,83.33333333333333,7.666666666666667,234.792,12.866666666666667,2856.483,1763.8,624.9,21.9,629.4,6.6,9.836666666666666,35.922088725
1980-12-31,85.53333333333335,7.3999999999999995,242.814,12.633333333333333,2985.557,1831.9,676.3,22.6,690.5,7.5,15.853333333333333,35.922088725
1981-03-31,87.8,7.433333333333334,235.639,11.233333333333334,3124.206,1885.7,708.1,22.9,765.8,7.8,16.569999999999997,44.139718825
1981-06-30,89.83333333333333,7.3999999999999995,239.765,9.799999999999999,3162.532,1917.5,719.9,22.8,755.1,7.6,17.78,44.139718825
1981-09-30,92.36666666666666,7.3999999999999995,280.546,10.866666666666667,3260.609,1958.1,776.3,23.8,798.0,8.6,17.576666666666664,44.139718825
1981-12-31,93.7,8.233333333333334,298.258,9.533333333333333,3280.818,1974.4,772.6,23.5,795.4,8.0,13.586666666666666,44.139718825
1982-03-31,94.46666666666665,8.833333333333334,290.071,7.6000000000000005,3274.302,2014.2,737.0,22.3,738.6,6.5,14.226666666666667,55.41838565
1982-06-30,95.89999999999999,9.433333333333334,298.902,6.766666666666666,3331.972,2039.6,762.2,22.6,750.0,6.8,14.513333333333334,55.41838565
1982-09-30,97.7,9.9,301.016,5.766666666666667,3366.322,2085.7,730.8,21.5,750.4,5.5,11.006666666666666,55.41838565
1982-12-31,97.93333333333332,10.666666666666666,274.808,4.5,3402.561,2145.6,674.1,19.7,713.0,3.7,9.286666666666667,55.41838565
1983-03-31,97.86666666666667,10.366666666666667,279.101,3.6,3473.413,2184.6,691.8,19.9,730.2,4.0,8.653333333333334,55.85679125
1983-06-30,99.10000000000001,10.133333333333333,253.221,3.3333333333333335,3578.848,2249.4,701.0,19.7,780.8,4.0,8.803333333333335,55.85679125
1983-09-30,100.26666666666667,9.366666666666667,252.838,2.6666666666666665,3689.179,2319.9,703.3,19.3,826.8,3.8,9.459999999999999,55.85679125
1983-12-31,101.16666666666667,8.533333333333333,273.544,3.3333333333333335,3794.706,2372.5,771.1,20.5,896.9,5.3,9.43,55.85679125
1984-03-31,102.3,7.866666666666667,309.103,4.533333333333334,3908.054,2418.2,854.5,21.9,975.0,7.0,9.686666666666667,61.287292075
1984-06-30,103.39999999999999,7.433333333333334,321.697,4.333333333333333,4009.601,2475.9,873.7,21.8,1008.4,7.1,10.556666666666667,61.287292075
1984-09-30,104.53333333333335,7.433333333333334,341.337,4.266666666666667,4084.25,2513.5,898.3,22.0,1032.6,7.2,11.39,61.287292075
1984-12-31,105.3,7.3,333.108,4.1,4148.551,2561.8,900.6,21.7,1037.1,6.8,9.266666666666667,61.287292075
1985-03-31,105.96666666666665,7.233333333333333,278.753,3.5666666666666664,4230.168,2636.0,889.6,21.1,1018.1,6.3,8.476666666666667,68.040807325
1985-06-30,107.26666666666665,7.3,314.783,3.766666666666667,4294.887,2681.8,887.5,20.8,1045.4,5.9,7.923333333333333,68.040807325
1985-09-30,108.03333333333335,7.2,254.998,3.3333333333333335,4386.773,2754.1,866.2,19.9,1048.4,5.1,7.8999999999999995,68.040807325
1985-12-31,109.0,7.033333333333334,283.224,3.5,4444.094,2779.4,881.3,20.0,1086.1,5.1,8.103333333333333,68.040807325
1986-03-31,109.23333333333333,7.033333333333334,302.26,3.1,4507.894,2823.6,895.8,20.1,1092.5,5.1,7.826666666666667,73.88655595
1986-06-30,109.0,7.166666666666667,310.378,1.6333333333333335,4545.34,2851.5,871.3,19.4,1089.7,4.3,6.919999999999999,73.88655595
1986-09-30,109.8,6.966666666666666,279.49,1.6666666666666667,4607.669,2917.2,838.9,18.5,1081.5,3.3,6.206666666666666,73.88655595
1986-12-31,110.39999999999999,6.833333333333333,262.722,1.3,4657.627,2952.8,852.9,18.6,1085.3,3.3,6.266666666666667,73.88655595
1987-03-31,111.63333333333333,6.599999999999999,290.04,2.1999999999999997,4722.156,2983.5,898.2,19.2,1118.8,4.0,6.22,76.021662175
1987-06-30,113.10000000000001,6.266666666666667,216.931,3.7999999999999994,4806.16,3053.3,926.9,19.4,1128.0,4.3,6.6499999999999995,76.021662175
1987-09-30,114.39999999999999,6.0,244.481,4.2,4884.555,3117.4,961.4,19.7,1134.8,4.6,6.843333333333334,76.021662175
1987-12-31,115.36666666666667,5.833333333333333,290.912,4.466666666666667,5007.994,3150.9,1010.0,20.2,1205.6,5.2,6.916666666666667,76.021662175
1988-03-31,116.06666666666666,5.7,295.581,3.9333333333333336,5073.372,3231.9,1030.0,20.2,1162.1,5.2,6.663333333333334,77.415317325
1988-06-30,117.53333333333335,5.466666666666666,316.197,3.9333333333333336,5190.036,3291.7,1069.2,20.6,1192.7,5.6,7.156666666666666,77.415317325
1988-09-30,119.10000000000001,5.466666666666666,328.473,4.1000000000000005,5282.835,3361.9,1096.4,20.7,1200.1,5.7,7.983333333333333,77.415317325
1988-12-31,120.33333333333333,5.333333333333333,328.187,4.266666666666667,5399.509,3434.5,1111.7,20.5,1226.5,5.6,8.47,77.415317325
1989-03-31,121.66666666666667,5.2,354.567,4.833333333333333,5511.253,3490.2,1145.2,20.8,1269.3,5.9,9.443333333333333,80.4666397
1989-06-30,123.66666666666667,5.233333333333333,327.405,5.233333333333333,5612.463,3553.8,1104.8,19.9,1268.3,4.9,9.726666666666667,80.4666397
1989-09-30,124.66666666666667,5.233333333333333,320.011,4.666666666666667,5695.365,3609.4,1100.7,19.5,1271.5,4.5,9.083333333333334,80.4666397
1989-12-31,125.86666666666667,5.366666666666667,339.675,4.6,5747.237,3653.7,1089.1,19.2,1271.5,4.1,8.613333333333333,80.4666397
1990-03-31,128.03333333333333,5.3,348.433,5.233333333333333,5872.701,3737.9,1102.8,19.0,1297.7,4.0,8.25,81.2823285
1990-06-30,129.33333333333334,5.333333333333333,372.279,4.6000000000000005,5960.028,3783.4,1135.0,19.2,1303.0,4.3,8.243333333333332,81.2823285
1990-09-30,131.56666666666666,5.7,361.095,5.533333333333332,6015.116,3846.7,1105.9,18.6,1292.4,3.6,8.16,81.2823285
1990-12-31,133.70000000000002,6.133333333333333,360.718,6.233333333333333,6004.733,3867.9,1110.6,18.6,1242.2,3.4,7.743333333333332,81.2823285
1991-03-31,134.79999999999998,6.6000000000000005,388.742,5.3,6035.178,3873.6,1200.2,20.0,1215.7,4.7,6.426666666666667,74.843194775
1991-06-30,135.6,6.833333333333333,391.179,4.866666666666667,6126.862,3926.9,1145.0,18.9,1222.6,3.6,5.863333333333333,74.843194775
1991-09-30,136.66666666666666,6.866666666666667,391.586,3.8666666666666667,6205.937,3973.3,1122.7,18.3,1243.5,3.0,5.6433333333333335,74.843194775
1991-12-31,137.70000000000002,7.1000000000000005,432.346,3.0,6264.54,4000.0,1146.6,18.5,1272.0,3.3,4.816666666666666,74.843194775
1992-03-31,138.66666666666666,7.366666666666667,453.285,2.866666666666667,6363.102,4100.4,1156.1,18.3,1256.3,3.3,4.023333333333333,81.258434
